id,geoname,latitude,longitude,country
65 / 6057,"Department Guatemala, San Juan Sacatepéquez",15.783471,-90.230759,Guatemala
65 / 6088,"Huehuetenango, Todos Santos Cuchumatán",15.783471,-90.230759,Guatemala
65 / 6090,"Huehuetenango, San Juan Atitán",15.783471,-90.230759,Guatemala
65 / 6008 D,"Nayarít, San Andres",23.634501,-102.552784,Mexico
65 / 6076,"Quiché, Santo Tomás Chichicastenango",15.783471,-90.230759,Guatemala
65 / 6267,Chichicastenango,15.783471,-90.230759,Guatemala
MCAA/ 0740 F,"Oaxaca, Guiengola",23.634501,-102.552784,Mexico
MCAA/ 0761 A,"Oaxaca, Cabeza Del Toro",23.634501,-102.552784,Mexico
30.0/ 2955,Tikal,15.783471,-90.230759,Guatemala
30 / 141,"Oaxaca, Cuicatlan",23.634501,-102.552784,Mexico
